user,amount,date
59ad2fba90e1b8001b11ddb0,500.0000,"2020-10-29 19:26:55.885714"
59ad36c690e1b8001b11ddb7,2000.0000,"2020-11-14 20:39:27.742176"
59ad37c790e1b8001b11ddb9,3250.0000,"2020-09-02 20:43:03.285746"
59ad596790e1b8001b11ddc5,500.0000,"2020-09-01 01:18:47.393608"
59ad85d25bb843001a2a629b,2000.0000,"2020-09-20 18:52:17.325248"
59adb3005bb843001a2a629e,5000.0000,"2020-09-02 03:48:27.484076"
59b231f75bb843001a2a62b6,1000.0000,"2020-09-28 17:33:48.033088"
59b7f7b08d0d44001b80f9e2,5000.0000,"2020-11-01 22:48:38.279565"
59b837947857fc001fad2970,20000.0000,"2020-09-05 23:35:09.269819"
59c14b5e7857fc001fad2983,5000.0000,"2020-09-20 20:02:14.558407"
59c261a17857fc001fad2985,500.0000,"2020-09-01 14:18:56.851519"
59cb3c98f603ce001aed8b51,2000.0000,"2020-11-05 14:49:58.047747"
59d3b4a6f603ce001aed8b60,5000.0000,"2020-09-17 20:31:13.169930"
59e2f4d223c326001a8d625f,1000.0000,"2020-10-02 22:13:45.916978"
59ea32c723c326001a8d626b,1500.0000,"2020-11-07 23:15:48.729150"
59ede8cb23c326001a8d626c,50000.0000,"2020-09-01 20:32:34.880852"
59f02fe3ec1cda001bd27569,1000.0000,"2020-10-25 12:57:20.544176"
59f08e4dec1cda001bd2756c,2000.0000,"2020-09-26 21:38:55.754967"
59f0a233ec1cda001bd2756e,220.0000,"2020-09-02 17:58:38.511617"
59f1afb9ec1cda001bd27570,2500.0000,"2020-10-25 19:19:22.548656"
59f226ffdfbd0c001c0342b7,125.0000,"2020-10-16 01:26:08.621938"
59f31c80dfbd0c001c0342c2,2000.0000,"2020-10-31 21:06:39.969415"
59f47480ec1cda001bd27584,50000.0000,"2020-09-07 15:50:53.626875"
59f86d8fec1cda001bd27590,200.0000,"2020-09-16 09:46:47.462537"
59f8cccedfbd0c001c0342df,8000.0000,"2020-09-10 23:58:06.299295"
59fb2449dfbd0c001c034324,329.0000,"2020-09-02 18:45:51.788291"
59fd1306dfbd0c001c034377,201.0000,"2020-09-02 08:48:52.638036"
59fd9dfddfbd0c001c0343a3,200.0000,"2020-09-04 01:44:55.437287"
59fec3d7dfbd0c001c0343e5,200.0000,"2020-09-16 15:54:45.187843"
59fedd31dfbd0c001c0343f0,200.0000,"2020-09-01 15:03:52.981509"
5a001550dfbd0c001c03441a,121.0000,"2020-09-01 08:20:16.363539"
