f_player_id,buyin,f_name,f_tournament_id,f_playing_time_limit,f_ticket_distribution,date
12949894,0.0000,"Daily Freeroll PLO - Nano Package",137289694,0,G,"2020-09-14 23:59:55"
12979743,0.0000,"Daily Mega Freeroll",135364693,0,,"2020-09-02 15:59:55"
12988283,0.0000,"Daily Freeroll NLH - Nano Package",135364717,0,G,"2020-09-02 21:59:55"
13018072,550.0000,"Mini StackUp",138093726,0,,"2020-09-01 13:29:55"
13024679,550.0000,"Time Crunch (15 min)",135340079,900,,"2020-09-01 20:51:55"
13079244,12.0000,"Time Crunch (15 min)",137497014,900,,"2020-09-15 15:44:55"
13114358,0.0000,"Daily Freeroll NLH",135163631,0,,"2020-09-01 00:59:55"
13121667,0.0000,"Daily Freeroll NLH",135242230,0,,"2020-09-01 17:59:55"
13121699,132.0000,"2 Tkt Turbo Yorker",135958505,900,G,"2020-09-05 19:59:55"
13142696,0.0000,"Daily Freeroll NLH",142383061,0,,"2020-10-22 18:59:55"
13167946,110.0000,"10K @ 9 PM",138643185,0,,"2020-09-01 20:59:55"
13206724,0.0000,"Daily Freeroll NLH - Satty",137048429,0,G,"2020-09-13 12:59:55"
13207512,55.0000,"Time Crunch (15 min)",143209902,900,,"2020-10-28 23:09:55"
13278446,55.0000,"Time Crunch (15 min)",135275644,900,,"2020-09-01 10:09:55"
13316515,0.0000,"Daily Freeroll NLH",137048377,0,,"2020-09-13 17:59:55"
13324635,154.0000,"2 Tkt Satty Stackup Lite",135947494,900,G,"2020-09-05 21:29:55"
13339654,0.0000,"Daily Freeroll NLH",138786421,0,,"2020-09-25 10:59:55"
13349905,110.0000,"2 Tkt Satty Bounty 17K",135568188,900,G,"2020-09-02 23:44:55"
13353290,0.0000,"Daily Freeroll NLH",141618442,0,,"2020-10-16 22:59:57"
13372036,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
13378567,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
13427507,0.0000,"Daily Freeroll NLH",135163631,0,,"2020-09-01 00:59:55"
13454975,0.0000,"Instagram freeroll",136688560,0,,"2020-09-10 19:59:55"
13476000,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",144285818,3600,,"2020-11-06 13:59:55"
13477125,0.0000,"Daily Freeroll PLO - Nano Package",139412502,0,G,"2020-09-29 23:59:55"
13494598,12.0000,"Time Crunch (15 min)",135260586,900,,"2020-09-01 00:28:55"
13554127,0.0000,"Daily Mega Freeroll",135364693,0,,"2020-09-02 15:59:55"
13562980,0.0000,"Daily Freeroll PLO",142383063,0,,"2020-10-22 16:59:55"
13565758,110.0000,"10K @ 9 PM",135573067,0,,"2020-09-03 20:59:55"
13568898,550.0000,"Turbo Nightout @ 1 AM",135075821,0,,"2020-09-01 00:59:55"
13683465,22.0000,"Pre-Lunch Quickie",145409396,0,,"2020-11-14 12:29:55"
13709746,110.0000,"10K @ 9 PM",138643185,0,,"2020-09-01 17:44:55"
13714066,0.0000,"Daily Mega Freeroll",135573113,0,,"2020-09-03 15:59:55"
13767757,0.0000,"Daily Freeroll NLH",135242246,0,,"2020-09-01 10:59:57"
13830639,0.0000,"Daily Freeroll PLO",135696574,0,,"2020-09-04 16:59:55"
13835921,0.0000,"Daily Freeroll NLH - Nano Package",138786451,0,G,"2020-09-25 20:29:50"
14003128,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
14106793,0.0000,"Daily Freeroll NLH",140808311,0,,"2020-10-10 14:59:55"
14111846,0.0000,"Daily Freeroll NLH",135337430,0,,"2020-09-02 00:59:55"
14126310,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",136616150,3600,,"2020-09-10 13:59:55"
14154164,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
14257166,0.0000,"Daily Freeroll NLH - Nano Package",138643249,0,G,"2020-09-01 14:29:55"
14294469,12.0000,"Time Crunch (15 min)",135301654,900,,"2020-09-01 15:28:55"
14396788,0.0000,"Daily Freeroll NLH - Nano Package",135364717,0,G,"2020-09-02 21:59:55"
14403687,220.0000,"Warm Up Turbo",138786447,0,,"2020-09-01 13:29:55"
14444596,0.0000,"Daily Freeroll NLH",135242240,0,,"2020-09-01 07:59:55"
14476761,220.0000,"Deepstack Turbo",140418449,0,,"2020-10-07 21:59:55"
14511209,220.0000,"20 Tkt Satty PPS - Master Blaster",138104523,5220,G,"2020-09-20 16:29:55"
14523602,0.0000,"Daily Freeroll NLH",135163631,0,,"2020-09-01 00:59:55"
14531633,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",139106678,3600,,"2020-09-27 13:59:55"
14540475,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",135696568,3600,,"2020-09-04 13:59:55"
14561335,0.0000,"Daily Freeroll PLO",137874022,0,,"2020-09-18 16:59:55"
14567851,0.0000,"Daily Freeroll NLH",138786427,0,,"2020-09-08 13:59:55"
14650757,550.0000,"ME 1A - SM #5 Main Event",135709101,0,G,"2020-09-04 20:59:55"
14657601,0.0000,"Daily Freeroll NLH",135364669,0,,"2020-09-02 22:59:56"
14714002,110.0000,"10K @ 9 PM",138786387,0,,"2020-09-25 20:59:55"
14727424,0.0000,"Daily Freeroll NLH",141043802,0,,"2020-10-12 18:59:55"
14748501,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",139838295,3600,,"2020-10-03 13:59:55"
14804131,220.0000,"Warm Up Turbo",135242272,0,,"2020-09-01 13:29:55"
14806247,0.0000,"Daily Freeroll PLO - Nano Package",145025745,0,G,"2020-11-11 23:59:55"
14832214,0.0000,"Daily Freeroll NLH",136754364,0,,"2020-09-11 14:59:55"
14876255,0.0000,"Daily Mega Freeroll",137048405,0,,"2020-09-13 15:59:55"
14914766,8.0000,"Mid-Lunch Quickie",138786498,0,,"2020-09-17 10:59:55"
14920092,550.0000,"Time Crunch (15 min)",136869958,900,,"2020-09-11 20:51:55"
14931253,0.0000,"Daily Freeroll NLH",135163631,0,,"2020-09-01 00:59:55"
14933066,11.0000,"Texas Madness - Half Price Rebuy",138643191,0,,"2020-09-01 00:59:55"
14946537,110.0000,"2 Tkt Satty Turbo Nightout",135260922,900,G,"2020-09-01 00:59:55"
14982437,550.0000,"Bounty 17K @ 12 AM",136310293,0,,"2020-09-08 23:59:50"
14992496,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15010533,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",135242250,3600,,"2020-09-01 13:59:55"
15026090,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15032401,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15079767,0.0000,"Daily Freeroll PLO",135242256,0,,"2020-09-01 16:59:55"
15079819,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15110442,550.0000,"Mini StackUp",134911203,0,,"2020-09-01 14:29:50"
15133303,110.0000,"10 Tkt Satty Mini Stackup",135573141,3300,G,"2020-09-03 13:29:55"
15224410,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15248540,0.0000,"Daily Mega Freeroll",137874024,0,,"2020-09-18 15:59:57"
15285229,0.0000,"Daily Freeroll PLO - Nano Package",141491306,0,G,"2020-10-15 23:59:55"
15288552,12.0000,"Time Crunch (15 min)",142423720,900,,"2020-10-22 14:34:55"
15306887,110.0000,"2 Tkt Satty Turbo Nightout",141425840,840,G,"2020-10-15 01:29:55"
15327904,770.0000,"SM #3 - StackUp Lite (6 Max)",135140239,0,,"2020-09-06 18:59:55"
15347705,0.0000,"Daily Freeroll NLH",143754881,0,,"2020-11-02 20:29:50"
15356093,6.0000,"PLO Nano",135364744,0,,"2020-09-02 16:29:55"
15362309,0.0000,"Daily Freeroll NLH",142383041,0,,"2020-10-22 22:59:55"
15372505,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",135242250,3600,,"2020-09-01 13:59:55"
15378457,0.0000,"Daily Freeroll NLH",135242232,0,,"2020-09-01 20:59:55"
15389062,0.0000,"Instagram freeroll",136688560,0,,"2020-09-10 19:59:55"
15469951,1100.0000,"Half Rebuy StackUp",134911308,0,,"2020-09-01 19:59:57"
15532201,770.0000,"SM #4 StackUp Lite (6 Max)",138715400,0,,"2020-09-27 18:59:55"
15532259,55.0000,"Satty Mini StackUp",135735335,900,G,"2020-09-04 12:29:55"
15539506,8.0000,"Mid-Lunch Quickie",138643285,0,,"2020-09-24 14:29:55"
15550586,88.0000,"Work From Home",137048417,0,,"2020-09-13 15:29:55"
15554622,0.0000,"Daily Freeroll PLO",136287656,0,,"2020-09-08 11:59:55"
15568898,176.0000,"10 Tkt Satty Turbo Yorker",135823970,3300,G,"2020-09-05 20:59:55"
15626922,0.0000,"Daily Freeroll NLH",136287640,0,,"2020-09-08 20:59:55"
15697530,0.0000,"Daily Freeroll PLO",144158157,0,,"2020-11-05 08:59:55"
15698005,0.0000,"Daily Freeroll PLO",135823940,0,,"2020-09-05 16:29:55"
15708347,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15717287,0.0000,"Daily Mega Freeroll",135823942,0,,"2020-09-05 15:59:55"
15736257,0.0000,"Daily Freeroll PLO",137671088,0,,"2020-09-17 16:59:56"
15749207,0.0000,"Daily Freeroll NLH - Nano Package",139960765,0,G,"2020-10-04 21:59:55"
15759769,110.0000,"10K @ 9 PM",144721608,0,,"2020-11-09 20:59:55"
15770744,0.0000,"Daily Freeroll NLH (1 Hour Timed Crunch)",138786425,3600,,"2020-09-25 13:59:55"
15798303,12.0000,"Time Crunch (15 min)",135262712,900,,"2020-09-01 00:54:55"
15800505,0.0000,"Daily Freeroll PLO",140697373,0,,"2020-10-09 16:59:55"
15841754,0.0000,"Daily Freeroll NLH",135242236,0,,"2020-09-01 05:59:55"
15858343,0.0000,"Daily Freeroll PLO",135242256,0,,"2020-09-01 16:59:55"
15862063,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15893879,12.0000,"Time Crunch (15 min)",135519780,900,,"2020-09-02 15:44:55"
15900241,550.0000,"Turbo Nightout @ 1 AM",135841360,0,,"2020-09-06 00:59:55"
15903038,550.0000,"Mini StackUp",138093726,0,,"2020-09-01 00:59:55"
15903079,8.0000,"Mid-Lunch Quickie",138786498,0,,"2020-09-01 12:59:55"
15908561,0.0000,"Daily Freeroll NLH - Nano Package",142708807,0,G,"2020-10-25 21:59:55"
15917829,0.0000,"Daily Freeroll NLH",135242236,0,,"2020-09-01 05:59:55"
15918168,55.0000,"Time Crunch (15 min)",139901704,900,,"2020-10-03 15:59:55"
15922727,11.0000,"Texas Madness - Half Price Rebuy",136287620,0,,"2020-09-08 20:29:50"
15925618,330.0000,"PLO Love @ 7pm",143214798,0,,"2020-10-29 18:59:55"
15938979,110.0000,"Time Crunch (15 min)",136941689,900,,"2020-09-12 11:26:55"
15939339,550.0000,"SM #2 - Mini StackUp",135152448,0,,"2020-09-06 14:29:50"
15963709,990.0000,"PPS #21 - Master Blaster 1E",137449276,0,G,"2020-09-20 17:59:55"
15964396,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15966277,0.0000,"Daily Freeroll PLO - Nano Package",138321025,0,G,"2020-09-21 23:59:55"
15975694,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15987340,12.0000,"Time Crunch (15 min)",145518459,900,,"2020-11-14 17:54:55"
16004182,0.0000,"Daily Freeroll NLH",135242232,0,,"2020-09-01 20:59:55"
16006538,0.0000,"Daily Freeroll NLH - Nano Package",138643249,0,G,"2020-09-10 16:59:55"
