user,amount,date
59ad2fba90e1b8001b11ddb0,200.0000,"2020-10-29 19:30:02.299478"
59ad35e990e1b8001b11ddb5,20000.0000,"2020-09-10 15:44:51.217529"
59ad3b0f90e1b8001b11ddbb,30000.0000,"2020-09-07 02:18:00.503332"
59ad596790e1b8001b11ddc5,471.0000,"2020-09-01 00:07:35.772877"
59adb3005bb843001a2a629e,4428.0000,"2020-09-27 01:46:06.562199"
59b837947857fc001fad2970,1000.0000,"2020-09-01 16:04:32.938375"
59b83c8d7857fc001fad2971,4000.0000,"2020-09-06 19:24:12.479318"
59c14b5e7857fc001fad2983,70000.0000,"2020-10-31 01:06:35.022639"
59c261a17857fc001fad2985,2000.0000,"2020-09-12 09:37:12.197594"
59d3b4a6f603ce001aed8b60,14424.0000,"2020-09-19 02:09:11.388812"
59d73720bc1ef6001ac61ce4,2000.0000,"2020-09-08 19:39:47.406234"
59ede8cb23c326001a8d626c,25000.0000,"2020-09-23 15:50:39.038217"
59f08e4dec1cda001bd2756c,11500.0000,"2020-09-27 01:13:17.495776"
59f0a233ec1cda001bd2756e,620.8100,"2020-09-06 22:05:35.814728"
59f47480ec1cda001bd27584,50000.0000,"2020-09-04 09:04:02.683037"
59f73169dfbd0c001c0342d5,41935.0000,"2020-10-19 19:37:35.889810"
59f8cccedfbd0c001c0342df,150850.5900,"2020-09-01 23:06:00.628945"
59fb2449dfbd0c001c034324,9000.0000,"2020-09-07 02:08:25.919763"
59fd1306dfbd0c001c034377,16000.0000,"2020-09-03 12:39:53.713977"
59fd9dfddfbd0c001c0343a3,500.0000,"2020-09-04 03:05:11.343306"
59fedd31dfbd0c001c0343f0,5000.0000,"2020-11-08 13:02:47.633703"
5a001550dfbd0c001c03441a,1260.0000,"2020-09-01 20:56:33.887800"
5a01f64fdfbd0c001c03445a,5570.6000,"2020-09-01 09:18:08.498190"
5a0be20cec1cda001bd2788a,561.5700,"2020-09-23 23:52:32.571963"
5a0f1fc9dfbd0c001c03460f,10000.0000,"2020-09-05 16:18:22.399433"
5a0f64acdfbd0c001c034612,200.0000,"2020-09-04 17:44:27.290002"
5a0fef40ec1cda001bd278e4,100.0000,"2020-10-22 15:56:27.513425"
5a1599b6ec1cda001bd2797f,8100.0000,"2020-09-04 06:35:15.006996"
5a15d1e0dfbd0c001c0346ca,2354.0000,"2020-09-08 18:35:23.180191"
5a17b9c8de3fcd001ac33c79,16887.0000,"2020-09-03 00:38:05.866587"
5a18f1f9ad99f1001d07c138,62361.2500,"2020-09-02 00:15:45.231093"
5a1a3a68ad99f1001d07c161,200000.0000,"2020-10-22 00:32:24.674534"
